,team,Rank,Major,Tournament,Invited,place,norm_elo
0,Vici Gaming,912,0,0,False,13-16,-1.33
1,Evil Geniuses,1092,0,0,True,3,1.23
2,Team Secret,1149,1,0,True,1,2.05
3,LGD Gaming,999,0,0,True,9-12,-0.09
4,Virtus Pro,936,0,0,False,9-12,-0.99
5,Newbee,944,0,0,False,9-12,-0.88
6,Fnatic,1028,0,0,True,5-6,0.32
7,CDEC Gaming,924,0,0,False,13-16,-1.16
8,EHOME,926,0,0,False,9-12,-1.13
9,Alliance,1027,0,0,True,7-8,0.31
10,OG,1021,0,0,True,7-8,0.22
11,Team Liquid,1103,0,0,True,2,1.39
12,Team_Spirit,947,0,0,False,13-16,-0.83
13,Team Archon,907,0,0,False,13-16,-1.4
14,compLexity Gaming,978,0,0,True,5-6,-0.39
15,MVP Phoenix,1083,0,1,True,4,1.11
16,Natus Vincere,1036,0,0,True,17,0.44
17,Team Empire,1009,0,0,False,17,0.05
18,Vici Gaming Reborn,1070,0,1,True,17,0.92
19,Vega Squadron,973,0,0,False,17,-0.46
20,Mineski,968,0,0,False,17,-0.53
21,Wings Gaming,1088,0,1,True,17,1.18
